USB-500 Log File,,,,,ConversionTable:,,
Name: RadTel_2,,,,,Index,mA,%
Model: USB-504,,,,,1,0.00000,0.00000
Serial Number: 7104,,,,,2,20.00000,100.00000
Index, Date/Time, Current(%)
302, 9/15/2015 10:01:33 PM,  -257.12
303, 9/15/2015 10:01:43 PM,  -255.83
304, 9/15/2015 10:01:53 PM,  -228.36
305, 9/15/2015 10:02:03 PM,  -90.24
306, 9/15/2015 10:02:13 PM,  -224.17
307, 9/15/2015 10:02:23 PM,  -274.54
308, 9/15/2015 10:02:33 PM,  -181.73
309, 9/15/2015 10:02:43 PM,  -289.79
310, 9/15/2015 10:02:53 PM,  -119.48
311, 9/15/2015 10:03:03 PM,  -93.77
312, 9/15/2015 10:03:13 PM,  -149.18
313, 9/15/2015 10:03:23 PM,  -179.90
314, 9/15/2015 10:03:33 PM,  -151.30
315, 9/15/2015 10:03:43 PM,  -200.10
316, 9/15/2015 10:03:53 PM,  -100.24
317, 9/15/2015 10:04:03 PM,  -116.18
318, 9/15/2015 10:04:13 PM,  -282.70
319, 9/15/2015 10:04:23 PM,  -116.93
320, 9/15/2015 10:04:33 PM,  -127.15
321, 9/15/2015 10:04:43 PM,  -233.18
322, 9/15/2015 10:04:53 PM,  -156.12
323, 9/15/2015 10:05:03 PM,  -181.58
324, 9/15/2015 10:05:13 PM,  -228.78
325, 9/15/2015 10:05:23 PM,  -358.85
326, 9/15/2015 10:05:33 PM,  -199.98
327, 9/15/2015 10:05:43 PM,  -229.59
328, 9/15/2015 10:05:53 PM,  -245.98
329, 9/15/2015 10:06:03 PM,  -188.58
330, 9/15/2015 10:06:13 PM,  -258.57
331, 9/15/2015 10:06:23 PM,  -176.74
332, 9/15/2015 10:06:33 PM,  -163.76
333, 9/15/2015 10:06:43 PM,  -170.83
334, 9/15/2015 10:06:53 PM,  -184.62
335, 9/15/2015 10:07:03 PM,  -384.37
336, 9/15/2015 10:07:13 PM,  -239.12
337, 9/15/2015 10:07:23 PM,  -75.70
